login,contributions
lattner,31914
topperc,13163
RKSimon,12320
arsenm,7853
espindola,7376
MaskRay,6691
rotateright,6300
tkremenek,6108
ddunbar,5441
d0k,5382
DougGregor,5367
nikic,5366
kazutakahirata,5141
zygoloid,4594
rui314,4591
fhahn,4280
nico,4129
chandlerc,3964
isanbard,3700
echristo,3516
dwblaikie,3303
klausler,3299
rnk,3245
chapuni,3189
JDevlieghere,3111
vitalybuka,2909
preames,2862
ldionne,2856
lhames,2848
labath,2832
alexey-bataev,2747
llvmgnsyncbot,2625
LebedevRI,2582
AaronBallman,2561
akyrtzi,2449
stoklund,2448
joker-eph,2422
eefriedman,2323
resistor,2323
tobiasgrosser,2309
davemgreen,2300
EricWF,2259
adrian-prantl,2172
kcc,2098
pcc,2093
majnemer,2071
tbaederr,2025
dexonsmith,1977
jayfoad,1943
jhuber6,1894
rjmccall,1865
mstorsjo,1863
zmodem,1832
nlewycky,1769
eugenis,1744
djasper-gh,1731
jasonmolenda,1696
jimingham,1677
clementval,1647
compnerd,1631
aeubanks,1608
mbrukman,1593
CunningBaldrick,1587
River707,1582
hokein,1500
bob-wilson,1444
asl,1419
dcci,1411
sam-mccall,1410
matthias-springer,1406
dvyukov,1356
vedantk,1348
TNorthover,1336
petrhosek,1327
mclow,1311
scallanan,1306
Teemperor,1298
dsandersllvm,1231
jdoerfert,1230
atanasyan,1213
atrick,1160
tstellarAMD,1153
rampitec,1147
DavidSpickett,1132
bogner,1099
alexfh,1075
bcardosolopes,1049
Bigcheese,1047
MatzeB,1043
gribozavr,1033
philnik777,1032
ahatanak,1028
gchatelet,992
ftynse,988
mordante,986
nicolasvasilache,979
Meinersbur,953
mgorny,947
AnnaZaks,942
teresajohnson,940
jrose-apple,939
sampo3k,891
sanjoy,874
sbc100,871
xuzhongxing,842
kadircet,790
hyp,779
lukel97,765
nadavrot,758
sdesmalen-arm,751
boomanaiden154,728
jpienaar,724
vonosmas,716
maksfb,698
yxsamliu,694
owenca,690
mtrofin,687
jeanPerier,685
jansvoboda11,684
Weverything,679
ChuanqiXu9,676
emaste,675
tskeith,670
aemerson,662
asb,660
david-xl,657
banach-space,647
ggreif,639
kubamracek,639
anemet,637
jsonn,630
antiagainst,624
ilya-biryukov,615
ahatanaka,606
atoker,602
uweigand,592
Michael137,587
xortator,587
ahmedbougacha,579
haoNoQ,577
JimLaskey,574
greened,562
aartbik,554
adibiagio,541
frasercrmck,538
goldsteinn,533
aaupov,522
tstellar,522
r4nt,518
davidbolvansky,517
pogo59,515
dtcxzyw,514
sparker-arm,510
nickdesaulniers,508
aheejin,508
rupprecht,506
int3,497
bulbazord,489
enderby,489
tfiala,484
gottesmm,482
sylvestre,479
chisophugis,477
cooperp,474
legrosbuffle,473
shiltian,469
ramosian-glider,468
david-arm,468
timurrrr,464
jroelofs,461
rengolin,457
alkis,448
vzakhari,448
bjope,447
krytarowski,444
medismailben,442
OCHyams,438
EugeneZelenko,436
michaelrj-google,430
smeenai,430
rovka,429
nemanjai,424
JonChesterfield,416
Endilll,415
JonPsson,411
gburgessiv,408
jurahul,407
paulwalker-arm,400
tlattner,400
deanberris,400
filcab,395
jmorse,392
jfbastien,389
Artem-B,389
fmayer,389
spavloff,388
cor3ntin,386
yrnkrn,381
akuegel,380
efriedma-quic,379
erichkeane,378
jvesely,378
KanRobert,374
tlively,373
ributzka,371
jyknight,370
darkbuck,370
kparzysz,368
brad0,367
manman-ren,365
omjavaid,364
nunoplopes,364
fredriss,358
kastiglione,357
Quuxplusone,356
niravhdave,355
alinas,353
Pierre-vh,351
njames93,345
deadalnix,344
dberlin,342
weliveindetail,340
phoebewang,340
ostannard,339
steveire,338
s-barannikov,338
c-rhodes,334
igorkudrin,331
krasimirgg,328
ZequanWu,326
aschwaighofer,324
kzhuravl,322
DamonFool,319
mizvekov,317
PiJoules,316
tblah,315
wangpc-pp,314
artagnon,314
chsigg,311
thurstond,310
bondhugula,310
benlangmuir,306
SLTozer,305
francisvm,303
llvm-beanz,303
michaelmaitland,298
eliben,297
lntue,294
yonghong-song,290
MacDue,285
dyung,285
morehouse,282
jdenny-ornl,282
epilk,276
kiranchandramohan,274
aqjune,274
pifon2a,272
svenvh,270
momchil-velikov,268
tclin914,265
danielcdh,261
schweitzpgi,258
kaz7,253
wschmidt-ibm,252
jyasskin,252
rafaelauler,251
nhaehnle,251
AndreyChurbanov,251
fpichet,250
john-brawn-arm,248
cjacek,247
ecnelises,242
keith,241
ThomasRaoux,240
ilovepi,240
rorth,237
statham-arm,237
hctim,236
michaelz-eng,236
chaoren,231
cyndyishida,230
aganea,230
jacquesguan,228
zero9178,228
dpreobra,227
dschuff,225
HighCommander4,225
krzysz00,223
delcypher,221
perlfu,221
stefanp-synopsys,221
vgvassilev,219
annamthomas,219
felipepiovezan,218
ymand,218
jh7370,218
Xazax-hun,216
HerrCai0907,215
DimitryAndric,213
wmi-11,211
vsapsai,209
mingmingl-llvm,209
kosarev,208
amccarth-google,207
abrachet,207
PiotrZSL,207
slackito,206
xur-llvm,206
kuhar,203
labrinea,201
fjricci,201
