number,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,lines_added,lines_deleted,files_changed,commits,change_num,prev_PRs,title_words,body_words,reviews_count,reviews_users,reviews_avg_len,reviews_time_span_hours,files_count,files_avg_additions,files_avg_deletions,files_avg_changes,files_avg_patch_chars,files_avg_patch_lines
157973,0,0,0,0,0,0,1,1,1,1,1.0,0,7,20,2.0,2.0,0.0,0.1175,1.0,1.0,1.0,2.0,440.0,11.0
157982,0,0,0,0,0,0,1,0,1,1,1.0,0,6,0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,266.0,8.0
157972,0,0,0,0,0,0,8,0,4,1,2.066666666666667,14,9,42,2.0,2.0,0.0,0.6119444444444444,4.0,2.0,0.0,2.0,227.25,6.5
157967,1,0,0,0,0,0,4,5,1,2,2.066666666666667,13,11,36,4.0,3.0,3.75,0.3233333333333333,1.0,4.0,5.0,9.0,1003.0,23.0
157963,1,0,0,0,0,0,1,0,1,1,1.6111111111111112,17,11,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,560.0,8.0
157971,0,0,0,0,0,0,2,2,1,1,1.5909090909090908,21,7,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1150.0,18.0
157966,1,0,0,0,0,0,1,1,1,1,2.066666666666667,12,12,26,2.0,2.0,0.0,1.2508333333333332,1.0,1.0,1.0,2.0,219.0,6.0
157985,0,0,0,0,0,0,3,3,1,1,1.0535714285714286,55,11,8,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,1443.0,27.0
157961,1,0,0,0,0,0,1,0,1,2,1.6111111111111112,16,10,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,444.0,8.0
157960,1,0,0,0,0,0,64,48,8,2,2.142857142857143,6,9,29,1.0,1.0,0.0,0.0,8.0,8.0,6.0,14.0,1694.25,53.875
157955,0,0,0,0,0,0,9,7,3,1,1.8518518518518519,53,11,23,2.0,2.0,0.5,1.5497222222222222,3.0,3.0,2.3333333333333335,5.333333333333333,561.3333333333334,13.0
157957,0,0,0,0,0,0,25,1,2,2,1.9285714285714286,13,9,31,8.0,2.0,0.0,0.42583333333333334,2.0,12.5,0.5,13.0,744.0,18.0
157953,0,0,0,0,0,0,1008,707,23,2,1.6666666666666667,2,7,18,0.0,0.0,0.0,0.0,23.0,43.82608695652174,30.73913043478261,74.56521739130434,3802.782608695652,97.69565217391305
157952,0,0,0,0,0,0,58,10,2,2,1.9285714285714286,12,8,0,1.0,1.0,0.0,0.0,2.0,29.0,5.0,34.0,3424.0,47.5
157950,1,0,0,0,0,0,3,3,1,1,1.6666666666666667,38,4,0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,557.0,13.0
157951,1,0,0,0,0,0,1,20,8,1,2.066666666666667,11,9,41,1.0,1.0,10.0,0.0,8.0,0.125,2.5,2.625,382.25,9.75
