number,state,title,user/login,body,created_at,updated_at,closed_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files
157973,closed,Fix a `-Wunused-variable` warning on windows,bogner,The `UID` variable is only being used inside the `#ifndef _WIN32` block - move the definition into the block as well.,2025-09-10T23:55:35Z,2025-09-11T00:52:34Z,2025-09-11T00:35:17Z,2025-09-11T00:35:17Z,True,2,0,1,1,1,1
157982,closed,Fix bazel target broken in #157537,jtstogel,,2025-09-11T02:04:54Z,2025-09-11T02:16:53Z,2025-09-11T02:16:53Z,2025-09-11T02:16:53Z,True,2,0,1,1,0,1
157972,closed,[compiler-rt] Mark some tests as unsupported on Windows.,cmtice,"PR157951 removed 'REQUIRES: shell' from several tests, which (among other things) caused them to start running on some Windows builders -- the 'REQUIRES: shell' prevented that.  Some of those tests fail on Windows. This PR marks those failing tests as UNSUPPORTED on Windows.",2025-09-10T23:45:39Z,2025-09-11T02:28:11Z,2025-09-11T02:28:10Z,2025-09-11T02:28:10Z,True,1,0,1,8,0,4
157967,closed,[compiler-rt] Update fuzzer/focus-function.test to not require shell.,cmtice,Replace sub-shell for-loops with python calls so this test can run in the lit internal shell. This is part of our work migrating to use the internal shell as the default for lit tests.,2025-09-10T22:54:38Z,2025-09-11T02:35:59Z,2025-09-11T02:35:59Z,2025-09-11T02:35:59Z,True,1,2,2,4,5,1
157963,closed,Add tbaa-semantics-checks.test to profcheck-xfail.txt post- #147670,mtrofin,,2025-09-10T22:07:32Z,2025-09-10T22:10:01Z,2025-09-10T22:07:41Z,2025-09-10T22:07:41Z,True,1,0,1,1,0,1
157971,closed,[flang] Fix MSVC build break after e062b9c9a3433,kparzysz,,2025-09-10T23:25:53Z,2025-09-11T00:16:30Z,2025-09-10T23:54:53Z,2025-09-10T23:54:53Z,True,1,0,1,2,2,1
157966,closed,[compiler-rt] Fix sig-trap.test to work with lit internal shell.,cmtice,"Update sig-trap.test to work with the lit internal shell, as part of our migration to make the internal shell the default for lit tests.",2025-09-10T22:22:48Z,2025-09-11T02:29:23Z,2025-09-11T02:29:22Z,2025-09-11T02:29:22Z,True,1,0,1,1,1,1
157985,closed,[clang][ExprConst][NFC] Take a const ASTContext in a few places,tbaederr,We don't need a mutable `ASTContext` here.,2025-09-11T03:31:10Z,2025-09-11T05:49:46Z,2025-09-11T05:33:27Z,2025-09-11T05:33:27Z,True,4,0,1,3,3,1
157961,closed,[profcheck] Add test introduced in #156477 to profcheck-xfail list,mtrofin,The test exposes existing root profile propagation issues,2025-09-10T21:40:44Z,2025-09-10T21:53:38Z,2025-09-10T21:53:36Z,2025-09-10T21:53:36Z,True,0,0,2,1,0,1
157960,closed,[libc] Migrate some test/src/time tests to ErrnoCheckingTest.,vonosmas,"Use ErrnoCheckingTest harness to clear out / validate errno value before/after the test respectively. Clean up explicit libc_errno.h inclusions which is unnecessary, since no test modifies errno directly.",2025-09-10T21:29:40Z,2025-09-11T00:00:09Z,2025-09-11T00:00:02Z,2025-09-11T00:00:02Z,True,2,0,2,64,48,8
157955,closed,[RISCV] Use default promotion for i32 CTLZ_ZERO_UNDEF on RV64 with XTHeadBb.,topperc,"If we don't need to worry about the input being zero, we can shift the input right by 32 and use TH_FF1.",2025-09-10T20:57:36Z,2025-09-11T07:11:11Z,2025-09-10T22:56:46Z,2025-09-10T22:56:46Z,True,2,0,1,9,7,3
157957,closed,[flang][cuda] Make sure stream is a i64 reference,clementval,"When the stream is a scalar constant, it is lowered as i32. Stream needs to be i64 to pass the verifier. Detect and update the stream reference when it is i32. ",2025-09-10T21:05:11Z,2025-09-11T05:08:49Z,2025-09-11T05:08:46Z,2025-09-11T05:08:46Z,True,1,7,2,25,1,2
157953,closed,"Revert ""[DAGCombiner] Relax condition for extract_vector_elt combine""",aeubanks,"Reverts llvm/llvm-project#157658

Causes hangs, see https://github.com/llvm/llvm-project/pull/157658#issuecomment-3276441812",2025-09-10T20:46:10Z,2025-09-10T21:33:45Z,2025-09-10T21:33:45Z,2025-09-10T21:33:44Z,True,1,0,2,1008,707,23
157952,closed,[flang][cuda] Fix type mismatch when transferring logical,clementval,,2025-09-10T20:33:56Z,2025-09-10T21:03:15Z,2025-09-10T20:56:40Z,2025-09-10T20:56:40Z,True,1,0,2,58,10,2
157950,closed,Test RISCV disassembler coverage,jurahul,,2025-09-10T20:25:07Z,2025-09-10T21:03:57Z,2025-09-10T21:03:57Z,,False,0,0,1,3,3,1
157951,closed,[compiler-rt] Removed unnecessary 'REQUIRES: shell' from lit tests.,cmtice,"As part of our work to migrate tests to use the lit internal shell by default, this removes 'REQUIRES: shell' from tests that don't actually require it. In one case the test was updated slightly to pass without requiring shell.",2025-09-10T20:29:35Z,2025-09-10T21:13:16Z,2025-09-10T21:13:16Z,2025-09-10T21:13:16Z,True,1,0,1,1,20,8
157949,closed,[AMDGPU] llvm.prefetch documentation for gfx1250. NFC,rampitec,,2025-09-10T20:20:01Z,2025-09-10T21:06:35Z,2025-09-10T21:06:33Z,2025-09-10T21:06:33Z,True,2,3,1,21,1,2
157947,closed,[docs][OpenMP] Claim TASKGRAPH,kparzysz,cc: @jtb20,2025-09-10T20:02:30Z,2025-09-10T20:14:43Z,2025-09-10T20:14:38Z,2025-09-10T20:14:38Z,True,1,0,1,1,1,1
157939,closed,[FunctionSpecialization] Fix profile count preserving logic,alanzhao1,"The previous fix in #157768 had a bug; instead of subtracting the original function's call count per call site of a specialization, we were subtracting the running total of the specialization's calls.

Tracking issue: #147390",2025-09-10T19:41:25Z,2025-09-11T07:13:22Z,2025-09-11T06:22:21Z,2025-09-11T06:22:21Z,True,4,1,5,17,12,3
157938,closed,[AMDGPU] NFC. Add testcase to test SIInsertWaitcnts::generateWaitcntInstBefore,choikwa,Pre-commit testcase for https://github.com/llvm/llvm-project/pull/157821,2025-09-10T19:30:26Z,2025-09-10T20:39:02Z,2025-09-10T20:39:02Z,2025-09-10T20:39:02Z,True,1,0,2,90,0,1
