id,user/login,body,submitted_at,pr_number
3208198956,boomanaiden154,,2025-09-10T23:47:34Z,157972
3208275398,vitalybuka,,2025-09-11T00:24:17Z,157972
3208072548,fmayer,,2025-09-10T23:00:57Z,157967
3208097287,cmtice,,2025-09-10T23:06:57Z,157967
3208131927,boomanaiden154,This is way cleaner than the bashisms actually. I forgot about multiplying strings in Python.,2025-09-10T23:16:17Z,157967
3208146034,fmayer,,2025-09-10T23:20:21Z,157967
3208412653,jhuber6,"Ah, sorry, guess I missed that one.",2025-09-11T02:06:21Z,157982
3208133509,boomanaiden154,,2025-09-10T23:16:45Z,157966
3208286446,vitalybuka,,2025-09-11T00:31:48Z,157966
3208226883,llvm-beanz,,2025-09-10T23:56:53Z,157973
3208247591,hekota,,2025-09-11T00:03:56Z,157973
3208228715,lntue,,2025-09-10T23:57:18Z,157960
3207952569,boomanaiden154,,2025-09-10T21:52:01Z,157961
3207739727,wangzpgi,,2025-09-10T20:39:07Z,157952
3207855324,vzakhari,,2025-09-10T21:14:42Z,157957
3207858737,vzakhari,,2025-09-10T21:16:25Z,157957
3207866274,clementval,,2025-09-10T21:20:05Z,157957
3207874412,vzakhari,,2025-09-10T21:23:22Z,157957
3207899739,clementval,,2025-09-10T21:30:21Z,157957
3207915088,vzakhari,,2025-09-10T21:34:03Z,157957
3207916961,vzakhari,,2025-09-10T21:34:36Z,157957
3207927970,clementval,,2025-09-10T21:40:15Z,157957
3207801177,boomanaiden154,"LGTM, assuming the tests pass in CI on Linux+Windows.",2025-09-10T20:55:41Z,157951
3207817566,lenary,,2025-09-10T21:01:21Z,157955
3208028337,preames,LGTM,2025-09-10T22:34:20Z,157955
3207795998,shiltian,,2025-09-10T20:53:27Z,157949
3207800060,rampitec,,2025-09-10T20:55:10Z,157949
3207804748,shiltian,,2025-09-10T20:57:12Z,157949
3207804887,shiltian,,2025-09-10T20:57:16Z,157949
3208018962,uzairnawaz,LGTM,2025-09-10T22:27:57Z,157942
3208026046,preames,LGTM,2025-09-10T22:32:55Z,157943
3208567947,mtrofin,,2025-09-11T03:37:29Z,157939
3208572771,mtrofin,,2025-09-11T03:39:54Z,157939
3207996949,shiltian,,2025-09-10T22:15:58Z,157935
3207520042,MaheshRavishankar,,2025-09-10T19:19:54Z,157932
3207441730,wangzpgi,,2025-09-10T18:55:18Z,157931
3207642207,tblah,LGTM,2025-09-10T20:03:10Z,157926
3207356775,pfusik,LGTM,2025-09-10T18:28:29Z,157921
3207507673,preames,"LGTM

Possibly followup: Is there a way in tablegen to derive a predicate from another instruction?  That is, say ""the predicate for the alias is whatever the predicate for RORI is""?  ",2025-09-10T19:16:51Z,157921
3207642987,efriedma-quic,LGTM,2025-09-10T20:03:28Z,157925
3207308619,pfusik,LGTM,2025-09-10T18:14:03Z,157915
3207501532,preames,LGTM,2025-09-10T19:14:17Z,157915
3207255447,wangzpgi,,2025-09-10T17:58:48Z,157914
