Train,Test,Model,MAE,RMSE,R²
yii2,django,mlp,322478148.78,27165101505.21,-24148662528548308.0000
yii2,react,mlp,86.03,1741.89,-113.2971
django,yii2,mlp,26.90,87.22,0.6258
django,react,mlp,44.49,116.47,0.4890
django,tensorflow,mlp,79.44,189.46,0.2246
django,terraform,mlp,76453.36,5246764.72,-974890466.3825
react,yii2,mlp,27.32,90.95,0.5931
react,django,mlp,42.82,113.45,0.5788
react,tensorflow,mlp,81.12,172.66,0.3560
react,terraform,mlp,1660588.80,179038818.97,-1135186068201.4075
tensorflow,yii2,mlp,28.95,79.92,0.6858
tensorflow,django,mlp,42.32,103.44,0.6499
tensorflow,react,mlp,44.20,104.86,0.5858
tensorflow,terraform,mlp,170.76,255.23,-1.3070
terraform,yii2,mlp,58.44,141.60,0.0137
terraform,django,mlp,84.35,183.80,-0.1055
terraform,react,mlp,74.66,167.74,-0.0599
terraform,tensorflow,mlp,130.46,1017.30,-21.3551
